gene	chromosome	sex_chromosome	base_mean	log2_fold_change_male_minus_female	standard_error	wald_statistic	nominal_p	nominal_p_lt_0_05	paper_deg_rule	direction
UNC79	14	FALSE	191.387873116001	-0.345875422330472	0.297488138444803	-1.16265281748249	0.244970392028675	FALSE	FALSE	Female higher
CLEC16A	16	FALSE	2825.34746354114	-0.162538556536917	0.139818455271045	-1.16249715548515	0.245033579454382	FALSE	FALSE	Female higher
BCL6	3	FALSE	945.128551599814	-0.310646891718657	0.267226557094969	-1.1624851028869	0.245038472407805	FALSE	FALSE	Female higher
CIITA	16	FALSE	767.83125144546	-0.457166728893028	0.393271693607841	-1.16247046589857	0.245044414629701	FALSE	FALSE	Female higher
NAMPT	7	FALSE	432.355503937499	-0.245528543692532	0.2112662849403	-1.16217570523339	0.245164101018313	FALSE	FALSE	Female higher
DOLK	9	FALSE	574.445046511114	0.199079105435573	0.171315505869804	1.16206121812972	0.245210599105362	FALSE	FALSE	Male higher
GOLGA6L3		FALSE	604.839166767954	-0.380718769695586	0.327694187031033	-1.16181117872418	0.245312172263764	FALSE	FALSE	Female higher
PLXNA4	7	FALSE	1520.12674317409	-0.302327461699773	0.260267650484961	-1.16160214739112	0.245397109418088	FALSE	FALSE	Female higher
HSPA8P7	X	TRUE	373.829065339756	0.250606458858109	0.215785510729635	1.161368332891	0.245492141328386	FALSE	FALSE	Male higher
RNF14	5	FALSE	612.783785969245	0.119625094104122	0.103004981673835	1.16135251091947	0.245498572966135	FALSE	FALSE	Male higher
CNTRL	9	FALSE	2290.40147429284	-0.175108730911045	0.150841903176479	-1.16087590532569	0.245692368731743	FALSE	FALSE	Female higher
MAPK6	15	FALSE	480.750828184345	0.135654915942679	0.116868560881441	1.16074772307923	0.245744508067317	FALSE	FALSE	Male higher
SP140L	2	FALSE	1050.72280443371	-0.207191563354385	0.178504268005516	-1.16070929658658	0.245760139916466	FALSE	FALSE	Female higher
SELENOTP1	9	FALSE	595.000935784148	0.30168760582498	0.259919578538562	1.16069596419502	0.245765563679598	FALSE	FALSE	Male higher
IMMP1L	11	FALSE	56.1407726392988	0.149163311388545	0.12855327967362	1.16032287754347	0.245917373460221	FALSE	FALSE	Male higher
NOTCH2NLB	1	FALSE	49.9283767558645	-0.184044297521055	0.158624550536114	-1.16025102608032	0.245946617527307	FALSE	FALSE	Female higher
FTSJ3	17	FALSE	2139.01129235633	-0.101823306807215	0.0877685186066549	-1.16013473194812	0.245993955249809	FALSE	FALSE	Female higher
RUVBL2	19	FALSE	2451.82952608844	0.0907780676108498	0.0782521609490483	1.1600710639794	0.246019874109332	FALSE	FALSE	Male higher
TMEM147	19	FALSE	826.026191258482	0.241343636242038	0.208049329507968	1.16003082928847	0.246036254405021	FALSE	FALSE	Male higher
PSTPIP2	18	FALSE	680.037160334422	0.170075479905746	0.146623893856219	1.15994382247496	0.246071679121462	FALSE	FALSE	Male higher
NT5C	17	FALSE	536.716984144348	-0.116563979209924	0.100492465628049	-1.15992754761695	0.246078305806694	FALSE	FALSE	Female higher
FASTK	7	FALSE	1590.53798270257	-0.131650496202854	0.11350039668459	-1.1599122121899	0.246084550095339	FALSE	FALSE	Female higher
TNFRSF10A	8	FALSE	168.185555244126	-0.250792104209919	0.216225774266437	-1.15986220912262	0.246104911146636	FALSE	FALSE	Female higher
BTG1	12	FALSE	1765.02609143694	0.148463743216533	0.128049170809563	1.15942760330195	0.246281930657386	FALSE	FALSE	Male higher
MEN1	11	FALSE	1488.2517254723	-0.0904057470234459	0.0779752706122425	-1.15941562387155	0.246286811268566	FALSE	FALSE	Female higher
ZKSCAN4	6	FALSE	312.41782348015	-0.101591483568813	0.0876371478680529	-1.15922854680038	0.24636303824918	FALSE	FALSE	Female higher
CNOT2	12	FALSE	1740.67119216727	-0.0791525613309882	0.0682831270823299	-1.15918184642529	0.246382069501749	FALSE	FALSE	Female higher
CGB8	19	FALSE	8098.68402680212	-0.523640014458873	0.45175547316534	-1.15912267933326	0.246406182647839	FALSE	FALSE	Female higher
PCBP1	2	FALSE	2187.74420591643	0.167184644713372	0.144256263740797	1.15894201317853	0.246479822145675	FALSE	FALSE	Male higher
RBM15B	3	FALSE	1764.16400141287	0.108903523365322	0.0939774797984048	1.15882574845522	0.246527219784397	FALSE	FALSE	Male higher
MRGBP	20	FALSE	284.335817176215	0.0717118634241024	0.0618862469868471	1.15876898205418	0.246550364062881	FALSE	FALSE	Male higher
AARS2	6	FALSE	1954.9783167549	-0.158782559746117	0.137057789377089	-1.15850810426583	0.246656746347519	FALSE	FALSE	Female higher
LMBRD1	6	FALSE	924.168155549533	0.138870425884274	0.119900178796775	1.15821700416021	0.24677549082764	FALSE	FALSE	Male higher
ENO3	17	FALSE	491.399579994629	-0.231321590430797	0.199723338901977	-1.15821011055862	0.246778303325482	FALSE	FALSE	Female higher
TNFSF13B	13	FALSE	135.76425256794	0.261247325063829	0.225578981254544	1.15811909252767	0.246815439578194	FALSE	FALSE	Male higher
